,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Goderich,100,CA,1573312092,62,43.74,-81.71,34.0,3.0
1,Cape Town,0,ZA,1573312093,37,-33.93,18.42,82.4,19.46
2,Saiha,100,IN,1573312094,97,22.49,92.98,64.65,3.0
3,Srednekolymsk,100,RU,1573312096,96,67.46,153.71,0.27,8.25
4,Havre-Saint-Pierre,1,CA,1573312097,45,50.23,-63.6,24.8,19.46
5,Basco,1,US,1573312098,64,40.33,-91.2,41.0,14.99
6,Saint George,20,GR,1573312099,60,39.45,22.34,69.8,6.93
7,Ushuaia,75,AR,1573312014,60,-54.81,-68.31,41.0,17.22
8,Bluff,0,AU,1573312101,23,-23.58,149.07,64.36,7.02
9,Ambilobe,72,MG,1573312102,66,-13.19,49.05,81.48,3.22
10,Airai,56,TL,1573312104,85,-8.93,125.41,66.81,2.21
11,Souillac,90,FR,1573312105,66,45.6,-0.6,53.6,18.34
12,Panama City,1,US,1573311961,67,30.16,-85.65,59.0,10.29
13,Albany,1,US,1573312107,68,42.65,-73.75,32.0,5.64
14,Atuona,15,PF,1573312108,76,-9.8,-139.03,79.12,13.53
15,Sao Filipe,42,CV,1573312109,80,14.9,-24.5,74.89,19.95
16,Victoria,75,BN,1573311884,83,5.28,115.24,77.0,2.24
17,Jamestown,0,AU,1573312112,92,-33.21,138.6,44.49,5.03
18,Mataura,100,NZ,1573312113,96,-46.19,168.86,48.99,5.99
19,New Norfolk,40,AU,1573312114,66,-42.78,147.06,48.99,14.99
20,Saint-Philippe,90,CA,1573312115,63,45.36,-73.48,32.0,9.17
21,Bandar-e Lengeh,20,IR,1573312116,65,26.56,54.88,78.8,18.34
22,Punta Arenas,40,CL,1573312117,48,-53.16,-70.91,44.6,10.29
23,Bethel,1,US,1573312119,92,60.79,-161.76,28.4,12.75
24,Bima,5,ID,1573312120,89,-8.45,118.73,74.57,2.62
25,Emerald,25,AU,1573312121,11,-23.53,148.16,75.2,17.22
26,Mahebourg,75,MU,1573312122,73,-20.41,57.7,77.0,8.05
27,Puerto Escondido,5,MX,1573312123,69,15.86,-97.07,80.6,6.93
28,Ixtapa,5,MX,1573312125,78,20.71,-105.21,82.99,3.36
29,Bredasdorp,17,ZA,1573312126,64,-34.53,20.04,71.01,24.16
30,Ahipara,97,NZ,1573312127,100,-35.17,173.16,64.99,12.55
31,Shestakovo,100,RU,1573312128,88,56.49,103.96,21.78,16.78
